SNO,Product Name,Processor,Storage,RAM,Trade in value
1,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 10-core CPU 16-core GPU,512GB SSD,16GB,$ 1085
2,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 10-core CPU 16-core GPU,512GB SSD,32GB,$ 1085
3,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 10-core CPU 16-core GPU,1TB SSD,16GB,$ 1160
4,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 10-core CPU 16-core GPU,1TB SSD,32GB,$ 1160
5,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 10-core CPU 16-core GPU,2TB SSD,16GB,$ 1250
6,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 10-core CPU 16-core GPU,2TB SSD,32GB,$ 1250
7,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 10-core CPU 16-core GPU,4TB SSD,16GB,$ 1415
8,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 10-core CPU 16-core GPU,4TB SSD,32GB,$ 1415
9,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 10-core CPU 16-core GPU,8TB SSD,16GB,$ 1560
10,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 10-core CPU 16-core GPU,8TB SSD,32GB,$ 1560
11,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 12-core CPU 19-core GPU,512GB SSD,16GB,$ 1160
12,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 12-core CPU 19-core GPU,512GB SSD,32GB,$ 1160
13,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 12-core CPU 19-core GPU,1TB SSD,16GB,$ 1250
14,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 12-core CPU 19-core GPU,1TB SSD,32GB,$ 1250
15,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 12-core CPU 19-core GPU,2TB SSD,16GB,$ 1375
16,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 12-core CPU 19-core GPU,2TB SSD,32GB,$ 1375
17,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 12-core CPU 19-core GPU,4TB SSD,16GB,$ 1545
18,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 12-core CPU 19-core GPU,4TB SSD,32GB,$ 1545
19,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 12-core CPU 19-core GPU,8TB SSD,16GB,$ 1690
20,Macbook Pro M2 Pro 14-inch 2023,M2 Pro 12-core CPU 19-core GPU,8TB SSD,32GB,$ 1690
21,Macbook Pro M2 Max 14-inch 2023,12-core CPU 30-core GPU,512GB SSD,32GB,$ 1250
22,Macbook Pro M2 Max 14-inch 2023,12-core CPU 30-core GPU,512GB SSD,64GB,$ 1250
23,Macbook Pro M2 Max 14-inch 2023,12-core CPU 30-core GPU,512GB SSD,96GB,$ 1250
24,Macbook Pro M2 Max 14-inch 2023,12-core CPU 30-core GPU,1TB SSD,32GB,$ 1340
25,Macbook Pro M2 Max 14-inch 2023,12-core CPU 30-core GPU,1TB SSD,64GB,$ 1340
26,Macbook Pro M2 Max 14-inch 2023,12-core CPU 30-core GPU,1TB SSD,96GB,$ 1340
27,Macbook Pro M2 Max 14-inch 2023,12-core CPU 30-core GPU,2TB SSD,32GB,$ 1490
28,Macbook Pro M2 Max 14-inch 2023,12-core CPU 30-core GPU,2TB SSD,64GB,$ 1490
29,Macbook Pro M2 Max 14-inch 2023,12-core CPU 30-core GPU,2TB SSD,96GB,$ 1490
30,Macbook Pro M2 Max 14-inch 2023,12-core CPU 30-core GPU,4TB SSD,32GB,$ 1680
31,Macbook Pro M2 Max 14-inch 2023,12-core CPU 30-core GPU,4TB SSD,64GB,$ 1680
32,Macbook Pro M2 Max 14-inch 2023,12-core CPU 30-core GPU,4TB SSD,96GB,$ 1680
33,Macbook Pro M2 Max 14-inch 2023,12-core CPU 30-core GPU,8TB SSD,32GB,$ 1825
34,Macbook Pro M2 Max 14-inch 2023,12-core CPU 30-core GPU,8TB SSD,64GB,$ 1825
35,Macbook Pro M2 Max 14-inch 2023,12-core CPU 30-core GPU,8TB SSD,96GB,$ 1825
36,Macbook Pro M2 Max 14-inch 2023,12-core CPU 38-core GPU,512GB SSD,32GB,$ 1375
37,Macbook Pro M2 Max 14-inch 2023,12-core CPU 38-core GPU,512GB SSD,64GB,$ 1375
38,Macbook Pro M2 Max 14-inch 2023,12-core CPU 38-core GPU,512GB SSD,96GB,$ 1375
39,Macbook Pro M2 Max 14-inch 2023,12-core CPU 38-core GPU,1TB SSD,32GB,$ 1475
40,Macbook Pro M2 Max 14-inch 2023,12-core CPU 38-core GPU,1TB SSD,64GB,$ 1475
41,Macbook Pro M2 Max 14-inch 2023,12-core CPU 38-core GPU,1TB SSD,96GB,$ 1475
42,Macbook Pro M2 Max 14-inch 2023,12-core CPU 38-core GPU,2TB SSD,32GB,$ 1630
43,Macbook Pro M2 Max 14-inch 2023,12-core CPU 38-core GPU,2TB SSD,64GB,$ 1630
44,Macbook Pro M2 Max 14-inch 2023,12-core CPU 38-core GPU,2TB SSD,96GB,$ 1630
45,Macbook Pro M2 Max 14-inch 2023,12-core CPU 38-core GPU,4TB SSD,32GB,$ 1805
46,Macbook Pro M2 Max 14-inch 2023,12-core CPU 38-core GPU,4TB SSD,64GB,$ 1805
47,Macbook Pro M2 Max 14-inch 2023,12-core CPU 38-core GPU,4TB SSD,96GB,$ 1805
48,Macbook Pro M2 Max 14-inch 2023,12-core CPU 38-core GPU,8TB SSD,32GB,$ 1955
49,Macbook Pro M2 Max 14-inch 2023,12-core CPU 38-core GPU,8TB SSD,64GB,$ 1955
50,Macbook Pro M2 Max 14-inch 2023,12-core CPU 38-core GPU,8TB SSD,96GB,$ 1955
51,Macbook Pro M2 Pro 16-inch 2023,M2 Pro 12-core CPU 19-core GPU,512GB SSD,16GB,$ 1310
52,Macbook Pro M2 Pro 16-inch 2023,M2 Pro 12-core CPU 19-core GPU,512GB SSD,32GB,$ 1310
53,Macbook Pro M2 Pro 16-inch 2023,M2 Pro 12-core CPU 19-core GPU,1TB SSD,16GB,$ 1410
54,Macbook Pro M2 Pro 16-inch 2023,M2 Pro 12-core CPU 19-core GPU,1TB SSD,32GB,$ 1410
55,Macbook Pro M2 Pro 16-inch 2023,M2 Pro 12-core CPU 19-core GPU,2TB SSD,16GB,$ 1500
56,Macbook Pro M2 Pro 16-inch 2023,M2 Pro 12-core CPU 19-core GPU,2TB SSD,32GB,$ 1500
57,Macbook Pro M2 Pro 16-inch 2023,M2 Pro 12-core CPU 19-core GPU,4TB SSD,16GB,$ 1640
58,Macbook Pro M2 Pro 16-inch 2023,M2 Pro 12-core CPU 19-core GPU,4TB SSD,32GB,$ 1640
59,Macbook Pro M2 Pro 16-inch 2023,M2 Pro 12-core CPU 19-core GPU,8TB SSD,16GB,$ 1785
60,Macbook Pro M2 Pro 16-inch 2023,M2 Pro 12-core CPU 19-core GPU,8TB SSD,32GB,$ 1785
61,Macbook Pro M2 Max 16-inch 2023,12-core CPU 38-core GPU,512GB SSD,32GB,$ 1505
62,Macbook Pro M2 Max 16-inch 2023,12-core CPU 38-core GPU,512GB SSD,64GB,$ 1505
63,Macbook Pro M2 Max 16-inch 2023,12-core CPU 38-core GPU,512GB SSD,96GB,$ 1505
64,Macbook Pro M2 Max 16-inch 2023,12-core CPU 38-core GPU,1TB SSD,32GB,$ 1745
65,Macbook Pro M2 Max 16-inch 2023,12-core CPU 38-core GPU,1TB SSD,64GB,$ 1745
66,Macbook Pro M2 Max 16-inch 2023,12-core CPU 38-core GPU,1TB SSD,96GB,$ 1745
67,Macbook Pro M2 Max 16-inch 2023,12-core CPU 38-core GPU,2TB SSD,32GB,$ 1745
68,Macbook Pro M2 Max 16-inch 2023,12-core CPU 38-core GPU,2TB SSD,64GB,$ 1745
69,Macbook Pro M2 Max 16-inch 2023,12-core CPU 38-core GPU,2TB SSD,96GB,$ 1745
70,Macbook Pro M2 Max 16-inch 2023,12-core CPU 38-core GPU,4TB SSD,32GB,$ 1955
71,Macbook Pro M2 Max 16-inch 2023,12-core CPU 38-core GPU,4TB SSD,64GB,$ 1955
72,Macbook Pro M2 Max 16-inch 2023,12-core CPU 38-core GPU,4TB SSD,96GB,$ 1955
73,Macbook Pro M2 Max 16-inch 2023,12-core CPU 38-core GPU,8TB SSD,32GB,$ 2105
74,Macbook Pro M2 Max 16-inch 2023,12-core CPU 38-core GPU,8TB SSD,64GB,$ 2105
75,Macbook Pro M2 Max 16-inch 2023,12-core CPU 38-core GPU,8TB SSD,96GB,$ 2105
76,Macbook Pro M2 Max 16-inch 2023,12-core CPU 30-core GPU,512GB SSD,32GB,$ 1415
77,Macbook Pro M2 Max 16-inch 2023,12-core CPU 30-core GPU,512GB SSD,64GB,$ 1415
78,Macbook Pro M2 Max 16-inch 2023,12-core CPU 30-core GPU,512GB SSD,96GB,$ 1415
79,Macbook Pro M2 Max 16-inch 2023,12-core CPU 30-core GPU,1TB SSD,32GB,$ 1535
80,Macbook Pro M2 Max 16-inch 2023,12-core CPU 30-core GPU,1TB SSD,64GB,$ 1535
81,Macbook Pro M2 Max 16-inch 2023,12-core CPU 30-core GPU,1TB SSD,96GB,$ 1535
82,Macbook Pro M2 Max 16-inch 2023,12-core CPU 30-core GPU,2TB SSD,32GB,$ 1660
83,Macbook Pro M2 Max 16-inch 2023,12-core CPU 30-core GPU,2TB SSD,64GB,$ 1660
